osm_type,osm_id,amenity,latitude,longitude,name,operator
node,3302171357,recycling,23.7320078,90.3631854,Secondary Transfer Station,City Corporation Laaram PLC & DDCL PRO BO
node,9812622788,recycling,23.8530299,90.3869468,Scrapping Store,
node,13957317557,recycling,23.8194613,90.3765827,,
node,13958251857,recycling,23.8231859,90.3768482,Scape Vendor,
node,3735652934,waste_basket,23.7911436,90.4134416,,
node,4362340667,waste_basket,23.7342712,90.3809007,,
node,4364364703,waste_basket,23.7220695,90.3949269,,
node,4589458985,waste_basket,23.7933558,90.4009624,,
node,4589458986,waste_basket,23.7936396,90.4009883,,
node,4589458987,waste_basket,23.794643,90.4011448,,
node,5219061121,waste_basket,23.7586443,90.4066311,,
node,6577977604,waste_basket,23.82231,90.3554906,,
node,6577977605,waste_basket,23.8222892,90.3556287,,
node,6577977606,waste_basket,23.822356,90.3557883,,
node,6577977607,waste_basket,23.8223558,90.3557945,,
node,6577977608,waste_basket,23.8201445,90.3570407,,
node,6577978513,waste_basket,23.8227913,90.3551922,,
node,6577978514,waste_basket,23.8230375,90.3551453,,
node,6577978515,waste_basket,23.8232118,90.3547932,,
node,6851334674,waste_basket,23.7502226,90.3747023,,government
node,6851334679,waste_basket,23.7395457,90.3710444,,government
node,6851334683,waste_basket,23.739336,90.3753588,,government
node,6851339864,waste_basket,23.7512064,90.3749133,,government
node,6851339865,waste_basket,23.7512554,90.3754485,,government
node,6851339866,waste_basket,23.7511575,90.3737892,,government
node,6851339867,waste_basket,23.7511819,90.3744315,,government
node,6851339870,waste_basket,23.7501537,90.374692,,government
node,6851339871,waste_basket,23.7501856,90.3747617,,government
node,6851339872,waste_basket,23.7501019,90.3746046,,government
node,6851339873,waste_basket,23.7504392,90.3686081,,government
node,6851339874,waste_basket,23.7504682,90.3685999,,government
node,6851339875,waste_basket,23.7507118,90.3684457,,government
node,6851339879,waste_basket,23.7401494,90.3806234,,government
node,6851339880,waste_basket,23.7395311,90.3772566,,government
node,6851339882,waste_basket,23.7389763,90.3798525,,
node,6851339883,waste_basket,23.7389018,90.3793918,,government
node,6851339884,waste_basket,23.7389266,90.3806112,,government
node,6851342740,waste_basket,23.7486132,90.3782762,,government
node,6851342741,waste_basket,23.7504619,90.3777147,,government
node,6851342742,waste_basket,23.7491179,90.3781937,,government
node,6851342743,waste_basket,23.7476542,90.3778542,,government
node,6851342744,waste_basket,23.7506924,90.3773593,,government
node,6851342745,waste_basket,23.7504278,90.376875,,government
node,6851342746,waste_basket,23.7445983,90.3774105,,government
node,6851342748,waste_basket,23.7497465,90.3773027,,government
node,6851342749,waste_basket,23.7503454,90.3764233,,government
node,6851342750,waste_basket,23.7447933,90.3774424,,government
node,6851342752,waste_basket,23.7494354,90.3778395,,government
node,6851342754,waste_basket,23.7503829,90.3757689,,government
node,6851342755,waste_basket,23.7505108,90.3765125,,government
node,6851342756,waste_basket,23.7443557,90.3773436,,government
node,6851342757,waste_basket,23.7502328,90.3771498,,government
node,6851342758,waste_basket,23.7475845,90.3780184,,government
node,6851342759,waste_basket,23.7476891,90.3782367,,government
node,6851342760,waste_basket,23.7507839,90.3773946,,government
node,6851342761,waste_basket,23.7469575,90.3776094,,government
node,6851342762,waste_basket,23.7469795,90.3775698,,government
node,6851342763,waste_basket,23.7499338,90.3774039,,government
node,6851342764,waste_basket,23.7489005,90.3782087,,government
node,6851342765,waste_basket,23.7494844,90.3777934,,government
node,6851355723,waste_basket,23.7389916,90.3848817,,government
node,6851355724,waste_basket,23.7390448,90.3852304,,government
node,6851355725,waste_basket,23.7322474,90.3850326,,government
node,6851355726,waste_basket,23.7322812,90.38518,,government
node,6851355730,waste_basket,23.7323116,90.3847744,,government
node,6851355731,waste_basket,23.732201,90.385025,,government
node,6851355732,waste_basket,23.7378307,90.3904733,,
node,6851355733,waste_basket,23.7390676,90.3867784,,government
node,6851355734,waste_basket,23.7388841,90.3865007,,government
node,6851355737,waste_basket,23.7367196,90.3837018,,government
node,6851355739,waste_basket,23.7321297,90.3838781,,government
node,6851355740,waste_basket,23.7320975,90.3829151,,government
node,6851355743,waste_basket,23.7388835,90.3867132,,government
node,6851355744,waste_basket,23.7388047,90.3849619,,government
node,6851355745,waste_basket,23.7389389,90.3870967,,government
node,6851355746,waste_basket,23.7389785,90.3877295,,government
node,6851355747,waste_basket,23.7391327,90.3876475,,government
node,6851355748,waste_basket,23.7391604,90.3883276,,government
node,6851355749,waste_basket,23.7389772,90.3887311,,government
node,6851355750,waste_basket,23.7389976,90.387979,,government
node,6851355751,waste_basket,23.7390428,90.3854254,,government
node,6851355752,waste_basket,23.7389747,90.3874576,,government
node,6851355753,waste_basket,23.7388936,90.3859454,,government
node,6851355754,waste_basket,23.7396891,90.3892338,,government
node,6851355755,waste_basket,23.7388601,90.3853496,,government
node,6851355756,waste_basket,23.7389792,90.388799,,government
node,6851355757,waste_basket,23.7401592,90.3895939,,government
node,6851355758,waste_basket,23.7334735,90.3845357,,government
node,6851355759,waste_basket,23.7391806,90.3885059,,government
node,6851355760,waste_basket,23.7393077,90.3885368,,government
node,6851355761,waste_basket,23.7313665,90.3855085,,government
node,6851355762,waste_basket,23.7302473,90.3858611,,government
node,6851355763,waste_basket,23.7298258,90.3859177,,government
node,6851355764,waste_basket,23.7303112,90.3856748,,government
node,6851355765,waste_basket,23.7297994,90.3857617,,government
node,6851355766,waste_basket,23.729387,90.3859682,,government
node,6851355769,waste_basket,23.7402747,90.3833403,,government
node,6851355772,waste_basket,23.7495943,90.378011,,government
node,6851358050,waste_basket,23.7416295,90.3742764,,government
node,6851358051,waste_basket,23.7418991,90.3742267,,government
node,6851358052,waste_basket,23.7413746,90.3745835,,government
node,6851358053,waste_basket,23.7432526,90.3735184,,government
node,6851358054,waste_basket,23.7409168,90.3751864,,government
node,6851358055,waste_basket,23.7437301,90.3732876,,government
node,6851358056,waste_basket,23.7418657,90.3740588,,government
node,6851358060,waste_basket,23.7446438,90.3726222,,government
node,6851358075,waste_basket,23.7478029,90.370395,,government
node,6851358076,waste_basket,23.7478527,90.370355,,government
node,6851360919,waste_basket,23.7226097,90.3944602,,government
node,6851360920,waste_basket,23.7224221,90.3944391,,government
node,6851360924,waste_basket,23.7272064,90.3861125,,government
node,6851360925,waste_basket,23.7255404,90.3892797,,government
node,6851360927,waste_basket,23.7240165,90.3871171,,government
node,6851360928,waste_basket,23.7243361,90.3871834,,government
node,6851360929,waste_basket,23.7254509,90.3867002,,government
node,6851360933,waste_basket,23.7290165,90.3860394,,government
node,6851360935,waste_basket,23.7266723,90.386342,,government
node,6851360938,waste_basket,23.7267274,90.3848485,,government
node,6851360939,waste_basket,23.7266745,90.385924,,government
node,6851360940,waste_basket,23.7269057,90.3858566,,government
node,6851360941,waste_basket,23.7266033,90.3843332,,government
node,6851360942,waste_basket,23.7267207,90.385099,,government
node,6851360943,waste_basket,23.7287701,90.3839434,,government
node,6851360944,waste_basket,23.7293008,90.3840715,,government
node,6851360945,waste_basket,23.7287525,90.3841014,,government
node,6851360946,waste_basket,23.7289759,90.3840985,,government
node,6851360947,waste_basket,23.7217651,90.3859705,,government
node,6851361698,waste_basket,23.7233758,90.3873499,,government
node,6851361699,waste_basket,23.7218813,90.3878426,,government
node,6851361700,waste_basket,23.7232117,90.387539,,government
node,6851361701,waste_basket,23.7218277,90.3882364,,government
node,6851361706,waste_basket,23.7239881,90.3868081,,government
node,6851361711,waste_basket,23.7204284,90.3849471,,government
node,6851361732,waste_basket,23.7388492,90.3861341,,government
node,6851361736,waste_basket,23.7390844,90.3862069,,government
node,6851361737,waste_basket,23.7390426,90.3856452,,government
node,6851361738,waste_basket,23.7387603,90.3843318,,government
node,6851361739,waste_basket,23.7388852,90.3837196,,government
node,6851362285,waste_basket,23.7385785,90.3760839,,ngo
node,6851362286,waste_basket,23.739081,90.3762732,,government
node,6851362287,waste_basket,23.739081,90.3758592,,government
node,6851362289,waste_basket,23.7387417,90.3746587,,government
node,6851362290,waste_basket,23.7386305,90.3738964,,government
node,6851362291,waste_basket,23.7386508,90.3740292,,government
node,6851362305,waste_basket,23.732035,90.3703162,,government
node,6851362319,waste_basket,23.7441869,90.3729383,,government
node,6851362320,waste_basket,23.7416912,90.3744912,,
node,6851362321,waste_basket,23.7411744,90.374341,,government
node,6900013140,waste_basket,23.7584094,90.3830468,,
node,6901877481,waste_basket,23.7583975,90.3810881,,
node,6901933720,waste_basket,23.7581578,90.3779316,,
node,6904549311,waste_basket,23.7932207,90.4009742,,
node,6904581435,waste_basket,23.7645542,90.3865238,,
node,6904592015,waste_basket,23.7646999,90.3856031,,
node,6904624095,waste_basket,23.7879845,90.4000605,,
node,6905024600,waste_basket,23.7880107,90.3997463,,
node,6905144591,waste_basket,23.7767849,90.3951712,,
node,6905188333,waste_basket,23.7755465,90.3926674,,
node,6905204780,waste_basket,23.7726319,90.3898776,,
node,6905207443,waste_basket,23.7736106,90.3902529,,
node,6905208623,waste_basket,23.7744975,90.3901536,,
node,6905235098,waste_basket,23.7723636,90.3901167,,
node,6905235099,waste_basket,23.7724752,90.3901293,,
node,6905313952,waste_basket,23.7667841,90.3891665,,
node,6905442366,waste_basket,23.7764942,90.3939515,,
node,6959435294,waste_basket,23.8468482,90.4064647,,
node,7447592236,waste_basket,23.7473258,90.3806227,,government
node,7447592275,waste_basket,23.7419127,90.3837767,,government
node,7447592282,waste_basket,23.7425407,90.3851489,,
node,7447592303,waste_basket,23.7377143,90.3904225,,
node,7447592342,waste_basket,23.7498574,90.3791584,,government
node,7447592349,waste_basket,23.7201111,90.4098319,,government
node,7447592354,waste_basket,23.7417348,90.3837212,,government
node,7447592389,waste_basket,23.7424516,90.3853109,,
node,7447592392,waste_basket,23.742234,90.3839043,,government
node,7447592429,waste_basket,23.749676,90.3656141,,
node,11331262738,waste_basket,23.7973081,90.4147767,,
node,11331262754,waste_basket,23.7980258,90.4142903,,
node,11765155352,waste_basket,23.8236741,90.3688515,,
node,11819587692,waste_basket,23.735227,90.3918143,,
node,11871905711,waste_basket,23.7333779,90.3908647,,
node,11871905712,waste_basket,23.7345362,90.391884,,
node,11871905714,waste_basket,23.7338119,90.392274,,
node,11871905715,waste_basket,23.7338414,90.3927111,,
node,11871905716,waste_basket,23.7338331,90.394163,,
node,11871905717,waste_basket,23.7340443,90.3942818,,
node,11871905718,waste_basket,23.7337348,90.3944555,,
node,11871905719,waste_basket,23.7322491,90.3951656,,
node,11871905721,waste_basket,23.7360078,90.3924535,,
node,11871905722,waste_basket,23.7360294,90.3924552,,
node,11871905724,waste_basket,23.7345868,90.3918008,,
node,11871905725,waste_basket,23.7337604,90.391793,,
node,11871905726,waste_basket,23.7335426,90.3912176,,
node,11871905728,waste_basket,23.7338014,90.3908786,,
node,11871905729,waste_basket,23.7338617,90.3911789,,
node,11871905730,waste_basket,23.7343827,90.3908705,,
node,11871905731,waste_basket,23.7344445,90.3911896,,
node,11871905732,waste_basket,23.7331127,90.3911456,,
node,11871905735,waste_basket,23.7347971,90.390872,,
node,11871905736,waste_basket,23.7283945,90.3975116,,
node,11871905737,waste_basket,23.7280167,90.3978708,,
node,11871905738,waste_basket,23.7343926,90.3914535,,
node,11871905739,waste_basket,23.7281535,90.3975653,,
node,11871905740,waste_basket,23.7279525,90.3976678,,
node,11871905741,waste_basket,23.7280498,90.397734,,
node,11871905742,waste_basket,23.7279802,90.39758,,
node,11871905743,waste_basket,23.7276764,90.3974334,,
node,11871905745,waste_basket,23.7286197,90.3995392,,
node,11871905752,waste_basket,23.7284663,90.3975182,,
node,11871905753,waste_basket,23.7333888,90.3933236,,
node,11871905754,waste_basket,23.7334016,90.3930668,,
node,11871905756,waste_basket,23.7335818,90.3921898,,
node,11873496185,waste_basket,23.7349425,90.3905314,,
node,12245898778,waste_basket,23.8042618,90.3560439,,
node,12245941047,waste_basket,23.8044439,90.3563183,,
node,12245950131,waste_basket,23.8059243,90.3564436,,
way,375520163,waste_disposal,23.7760867,90.406391,Medical Incinerator for Shonkramok Byadhi Hospital,
way,997742679,waste_disposal,23.7620023,90.4447497,,
way,1493002179,waste_disposal,23.7200127,90.4184621,,
node,3330928334,waste_disposal,23.7455548,90.3621339,,
node,4009075983,waste_disposal,23.7659027,90.4190225,,
node,4009109835,waste_disposal,23.7613741,90.419142,,
node,4009174541,waste_disposal,23.752521,90.4100576,,
node,4009194405,waste_disposal,23.7512493,90.4045913,,
node,4009225604,waste_disposal,23.7540632,90.4080208,,
node,4063008129,waste_disposal,23.7557158,90.4091213,,
