serial,date,fullness,reason
1510830,2018-06-26,6.0,FULLNESS
1511190,2018-06-26,8.0,FULLNESS
1511191,2018-06-26,0.0,NOT_READY
1511192,2018-06-26,8.0,FULLNESS
1511193,2018-06-26,6.0,NOT_READY
1511194,2018-06-26,0.0,ALERT
1511195,2018-06-26,0.0,NOT_READY
1511196,2018-06-26,4.0,NOT_READY
1511197,2018-06-26,0.0,NOT_READY
1511198,2018-06-26,0.0,NOT_READY
1511199,2018-06-26,0.0,NOT_READY
1511200,2018-06-26,0.0,NOT_READY
1511201,2018-06-26,0.0,NOT_READY
1511203,2018-06-26,8.0,FULLNESS
1511204,2018-06-26,8.0,FULLNESS
1511205,2018-06-26,2.0,NOT_READY
1511206,2018-06-26,8.0,FULLNESS
1511207,2018-06-26,0.0,NOT_READY
1511208,2018-06-26,8.0,FULLNESS
1511209,2018-06-26,0.0,NOT_READY
1511210,2018-06-26,0.0,NOT_READY
1511211,2018-06-26,6.0,NOT_READY
1511212,2018-06-26,6.0,NOT_READY
1511213,2018-06-26,8.0,FULLNESS
1511214,2018-06-26,0.0,NOT_READY
1511215,2018-06-26,0.0,NOT_READY
1511216,2018-06-26,0.0,NOT_READY
1511217,2018-06-26,0.0,NOT_READY
1511218,2018-06-26,6.0,NOT_READY
1511219,2018-06-26,0.0,NOT_READY
1511220,2018-06-26,4.0,NOT_READY
1511221,2018-06-26,8.0,FULLNESS
1510830,2018-06-27,0.0,NOT_READY
1511190,2018-06-27,0.0,NOT_READY
1511191,2018-06-27,8.0,FULLNESS
1511192,2018-06-27,0.0,NOT_READY
1511193,2018-06-27,6.0,NOT_READY
1511194,2018-06-27,0.0,ALERT
1511195,2018-06-27,0.0,NOT_READY
1511196,2018-06-27,8.0,FULLNESS
1511197,2018-06-27,0.0,NOT_READY
1511198,2018-06-27,0.0,NOT_READY
1511199,2018-06-27,0.0,NOT_READY
1511200,2018-06-27,0.0,NOT_READY
1511201,2018-06-27,0.0,NOT_READY
1511203,2018-06-27,0.0,NOT_READY
1511204,2018-06-27,0.0,NOT_READY
1511205,2018-06-27,0.0,NOT_READY
1511206,2018-06-27,0.0,NOT_READY
1511207,2018-06-27,0.0,NOT_READY
1511208,2018-06-27,0.0,NOT_READY
1511209,2018-06-27,0.0,NOT_READY
1511210,2018-06-27,0.0,NOT_READY
1511211,2018-06-27,8.0,FULLNESS
1511212,2018-06-27,0.0,NOT_READY
1511213,2018-06-27,0.0,NOT_READY
1511214,2018-06-27,0.0,NOT_READY
1511215,2018-06-27,0.0,NOT_READY
1511216,2018-06-27,0.0,NOT_READY
1511217,2018-06-27,0.0,NOT_READY
1511218,2018-06-27,0.0,NOT_READY
1511219,2018-06-27,0.0,NOT_READY
1511220,2018-06-27,8.0,FULLNESS
1511221,2018-06-27,0.0,NOT_READY
1510830,2018-06-28,2.0,NOT_READY
1511190,2018-06-28,6.0,NOT_READY
1511191,2018-06-28,0.0,NOT_READY
1511192,2018-06-28,0.0,NOT_READY
